acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,liked
0.0706,0.75,0.799,0,0.377,-2.788,0.0697,0
0.00427,0.774,0.792,1.15e-06,0.283,-4.019,0.224,0
0.0556,0.722,0.833,0,0.195,-3.915,0.094,0
0.315,0.616,0.833,0,0.175,-3.314,0.067,0
0.0149,0.785,0.744,0.00666,0.0661,-4.249,0.0369,0
0.405,0.745,0.739,0.000183,0.127,-4.591,0.0327,0
0.0868,0.839,0.902,0.00257,0.272,-3.612,0.0536,0
0.0569,0.682,0.831,0,0.0927,-4.234,0.253,0
0.0399,0.707,0.758,0,0.141,-4.511,0.0917,0
0.167,0.765,0.769,0,0.0854,-3.16,0.0595,0
0.00682,0.822,0.712,0,0.0955,-4.877,0.15,0
0.0409,0.709,0.917,0,0.0839,-3.315,0.189,0
0.0485,0.606,0.911,0,0.334,-3.601,0.129,0
0.28,0.724,0.647,0,0.102,-5.642,0.0658,0.4088856724978587
0.153,0.841,0.798,3.33e-06,0.0618,-4.206,0.229,0.5207844201859679
0.0141,0.817,0.539,0.000496,0.099,-6.349,0.0621,0.5844057896929258
0.191,0.687,0.792,0,0.167,-2.749,0.0452,0.5615043831875252
0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,0.49888102024872266
0.551,0.753,0.498,0,0.0706,-5.61,0.0504,0.5660592819008992
0.00513,0.834,0.73,0,0.124,-3.714,0.222,0.4043931164796793
0.071,0.826,0.615,0,0.0965,-7.979,0.219,0.4843528056299955
0.0302,0.703,0.723,2.06e-06,0.126,-5.45,0.0412,0.5517064937042915
0.254,0.397,0.396,0,0.268,-9.91,0.05,0.4141884950589052
0.371,0.572,0.385,0,0.231,-6.362,0.0308,0.5437304857008787
0.0617,0.772,0.493,0.0328,0.154,-3.41,0.0729,0.49317066575455326
0.194,0.729,0.625,0.00986,0.248,-5.266,0.0315,0.43130435371679243
0.979,0.498,0.104,7.86e-05,0.0895,-14.08,0.0621,0.4161880880875085
0.0765,0.596,0.552,0.334,0.104,-10.278,0.097,0.5653610520642143
0.0691,0.719,0.704,0,0.166,-4.724,0.0476,0.43359427134385387
0.349,0.511,0.566,0,0.34,-7.23,0.2,0.5668601919542293
0.568,0.851,0.541,0,0.13,-6.825,0.0505,0.558862290531147
0.103,0.896,0.671,0,0.552,-6.977,0.289,0.5423836157335241
0.555,0.56,0.68,0,0.116,-7.648,0.321,0.4425022979520174
0.176,0.694,0.77,1.1e-05,0.118,-5.335,0.149,0.40982314794771846
0.323,0.767,0.709,0,0.0676,-4.47,0.336,0.5005276475711572
0.177,0.754,0.854,0,0.0808,-3.449,0.0608,0.4908404488097951
0.258,0.74,0.613,0.00372,0.123,-4.88,0.145,0.42516683457855664
0.0175,0.669,0.574,0.00294,0.146,-6.442,0.0286,0.46145558881771603
0.697,0.553,0.586,0,0.0813,-6.319,0.0362,0.41994555403808737
0.423,0.665,0.699,0,0.0969,-5.265,0.0578,0.4816451997715887
0.0722,0.383,0.637,0,0.368,-6.993,0.0703,0.4158071786901088
0.0119,0.781,0.768,4.91e-06,0.325,-5.991,0.0394,0.5158439438216876
0.0658,0.678,0.729,0,0.303,-4.188,0.137,0.5210819313554126
0.354,0.68,0.563,0,0.136,-5.843,0.0454,0.5931981782858768
0.315,0.754,0.805,0,0.203,-4.249,0.0752,0.5440902978779256
0.556,0.921,0.537,0.00404,0.102,-5.723,0.0804,0.5739598387229656
0.112,0.933,0.528,0.312,0.163,-6.472,0.161,0.4269588808782314
0.288,0.531,0.854,0,0.0773,-3.149,0.198,0.5124075951120255
0.217,0.704,0.611,0,0.0812,-6.112,0.0409,0.5590735535009691
0.164,0.335,0.625,0,0.0708,-7.462,0.0386,0.4437234119100518
0.00381,0.8,0.578,0,0.359,-5.144,0.0485,0.5436050854592481
